category_code,category_name,crop_code,crop_name
00,곡류(벼),00001,벼
01,곡류(기타),01001,보리(도복강-중북부)
01,곡류(기타),01002,보리(도복강-남부)
01,곡류(기타),01003,보리(도복중~약-중북부)
01,곡류(기타),01004,보리(도복중~약-남부)
01,곡류(기타),01005,맥주보리(도복강)
01,곡류(기타),01006,맥주보리(도복중~약)
01,곡류(기타),01007,밀(도복강)
01,곡류(기타),01008,밀(도복중~약)
01,곡류(기타),01009,밀(제과용-고소밀)
01,곡류(기타),01010,밀(제과용-조아밀)
01,곡류(기타),01011,밀(제면용-수안밀)
01,곡류(기타),01012,밀(제빵용-금강밀)
01,곡류(기타),01013,밀(제빵용-조경밀)
01,곡류(기타),01014,조
01,곡류(기타),01015,기장
01,곡류(기타),01016,수수
01,곡류(기타),01017,메밀
01,곡류(기타),01018,콩(기경지)
01,곡류(기타),01019,콩(개간지)
01,곡류(기타),01020,팥
01,곡류(기타),01021,옥수수(보통옥수수)
01,곡류(기타),01022,옥수수(단옥수수)
01,곡류(기타),01023,귀리
01,곡류(기타),01024,동부콩
01,곡류(기타),01025,완두콩
01,곡류(기타),01026,서리태콩
01,곡류(기타),01027,쥐눈이콩
01,곡류(기타),01028,녹두
01,곡류(기타),01029,콩(잎수확용)
01,곡류(기타),01030,아마란스
01,곡류(기타),01031,강낭콩
01,곡류(기타),01032,작두콩
02,유지류,02001,참깨(기경지)
02,유지류,02002,참깨(개간지)
02,유지류,02003,참깨(2모작지)
02,유지류,02004,들깨(종실용)
02,유지류,02005,땅콩(기경지)
02,유지류,02006,땅콩(개간지)
02,유지류,02007,유채
02,유지류,02008,유채(1대잡종)
02,유지류,02009,유채(화산회토)
02,유지류,02010,유채(사료용)
03,서류,03001,감자(준고냉지및고냉지)
03,서류,03002,감자(남부해안)
03,서류,03003,고구마(기경지)
03,서류,03004,고구마(개간지)
03,서류,03005,"아피오스(인디언감자,콩감자)"
04,과채류,04001,고추(노지재배)
04,과채류,04002,고추(시설재배)
04,과채류,04003,고추(밀식재배)
04,과채류,04004,피망(시설재배)
04,과채류,04005,꽈리고추(시설재배)
04,과채류,04006,토마토(노지재배)
04,과채류,04007,토마토(시설재배)
04,과채류,04008,방울토마토(시설재배)
04,과채류,04009,오이(노지재배)
04,과채류,04010,오이(시설재배)
04,과채류,04011,딸기(노지재배)
04,과채류,04012,딸기(시설재배)
04,과채류,04013,참외(노지재배)
04,과채류,04014,참외(시설재배)
04,과채류,04015,멜론(시설재배)
04,과채류,04016,수박(노지재배)
04,과채류,04017,수박(시설재배)
04,과채류,04018,호박(노지재배)
04,과채류,04019,호박(시설재배)
